Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Hurricane,2012,10/29/2012,4:45 PM,10/31/2012,11:00 AM,ISO New England/PSNH,New Hampshire,NPCC,N/A,"50,000","severe weather, hurricane/tropical storm"
Hurricane,2012,10/29/2012,6:46 PM,11/3/2012,10:45 AM,"Orange and Rockland Utilities, Inc.",Southeast New York; New Jersey,"NPCC, RFC",N/A,"200,000","severe weather, hurricane/tropical storm"
Vandalism,2012,10/29/2012,9:00 AM,10/29/2012,9:01 AM,City of Tacoma (TPWR),"LaGrande, Washington",WECC,0,0,"vandalism, physical"
Severe Weather,2012,10/29/2012,7:00 PM,11/2/2012,5:00 AM,American Electric Power,Indiana; Kentucky; Michigan; Ohio,"RFC, SERC",N/A,"173,273","severe weather, storm"
Hurricane,2012,10/29/2012,2:45 PM,11/1/2012,1:30 AM,ISO New England/REMVEC,Eastern Massachusetts,NPCC,N/A,"50,000","severe weather, hurricane/tropical storm"
Hurricane,2012,10/29/2012,5:30 PM,11/6/2012,12:00 AM,Exelon Corporation/PECO,Greater Philadelphia Pennsylvania,RFC,N/A,"850,000","severe weather, hurricane/tropical storm"
Vandalism,2012,10/25/2012,6:51 PM,10/25/2012,7:30 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2012,10/25/2012,2:39 PM,10/25/2012,6:00 PM,Black Hills/Colorado Elec.Util,"Pueblo, Colorado",WECC,0,0,"vandalism, physical"
Vandalism,2012,10/25/2012,12:00 AM,10/25/2012,12:01 AM,Potomac Electric Power Company (PEPCO),"West Lanham, Maryland",RFC,N/A,N/A,"vandalism, physical"
Vandalism,2012,10/24/2012,3:15 PM,10/24/2012,3:16 PM,Delmarva Power & Light Company,"Frankford, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2012,10/24/2012,12:00 AM,10/24/2012,12:01 AM,Potomac Electric Power Company (PEPCO),"Kingswood, Maryland",RFC,0,0,"vandalism, physical"
Physical Attack,2012,10/24/2012,12:00 AM,10/24/2012,12:01 AM,Potomac Electric Power Company (PEPCO),"Brighton, Maryland",RFC,0,0,"vandalism, physical"
Transmission System Interruption,2012,10/23/2012,9:10 AM,10/23/2012,9:16 AM,"Crawfordsville Electric, Light & Power","Crawfordsville, Indiana",RFC,49,"9,800",transmission interruption
Vandalism,2012,10/22/2012,12:00 AM,10/22/2012,12:01 AM,Potomac Electric Power Company (PEPCO),"Norbeck, Maryland",RFC,0,0,"vandalism, physical"
Vandalism,2012,10/15/2012,2:15 PM,10/15/2012,2:16 PM,ISO New England,Southeast Vermont,NPCC,0,0,"vandalism, physical"
Electrical System Separation,2012,10/14/2012,10:36 AM,10/14/2012,10:50 AM,Pacific Gas & Electric Co,Northern California,WECC,3,"2,035",islanding
Vandalism,2012,10/11/2012,12:00 AM,10/11/2012,12:01 AM,Potomac Electric Power Company (PEPCO),"Seat Pleasant, Maryland",RFC,0,0,vandalism
Vandalism,2012,10/9/2012,12:00 AM,10/9/2012,12:01 AM,Potomac Electric Power Company (PEPCO),"Seat Pleasant, Maryland",RFC,0,0,vandalism
Physical Attack,2012,10/5/2012,5:30 PM,10/5/2012,5:50 PM,Western Area Power Authority - Sierra Nevada Region,"Greater Sacramento, California",WECC,N/A,N/A,"vandalism, physical"
Voltage Reduction,2012,9/26/2012,9:16 PM,9/26/2012,10:18 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,"371,526",voltage reduction
Physical Attack,2012,9/24/2012,12:00 AM,9/25/2012,12:00 AM,PEPCO (Potomac Electric Power Company),"Brighton, Maryland",RFC,0,0,"vandalism, physical"
Electrical System Separation,2012,9/11/2012,1:00 PM,9/11/2012,1:58 PM,WECC - Loveland,"Alberta, Canada",WECC,0,0,islanding
Storm,2012,9/8/2012,3:53 PM,9/9/2012,7:46 PM,Dominion Virginia Power,Virginia,SERC,475,"119,000","severe weather, thunderstorm"
Storm,2012,9/8/2012,3:40 PM,9/8/2012,6:45 PM,PEPCO (Potomac Electric Power Company),"Prince George's County, Montgomery County Maryland; D.C.",RFC,N/A,"65,000","severe weather, thunderstorm"
Storm,2012,9/7/2012,9:30 PM,9/8/2012,1:00 AM,Entergy Corp,Arkansas,SERC,N/A,"64,951","severe weather, thunderstorm"
Fuel Supply Emergency,2012,9/6/2012,4:45 AM,Ongoing,Ongoing,California Department of Water Resources,"Oroville, California",WECC,N/A,N/A,"fuel supply emergency, hydro"
Electrical System Separation,2012,9/5/2012,10:56 AM,9/5/2012,11:27 AM,WECC Reliability Coordinator,"Alberta, Canada",WECC,0,0,islanding
Hurricane,2012,8/29/2012,6:53 AM,8/30/2012,2:00 PM,Dixie Electric Membership Corp,Louisiana,SERC,150,"68,018","severe weather, hurricane/tropical storm"
Hurricane,2012,8/29/2012,9:48 AM,8/31/2012,12:55 PM,Cleco Power LLC,Louisiana,SPP,N/A,"95,000","severe weather, hurricane/tropical storm"
Hurricane,2012,8/29/2012,9:00 AM,8/31/2012,12:00 PM,Louisiana Generating LLC,Louisiana,SERC,300,"50,000","severe weather, hurricane/tropical storm"
Hurricane,2012,8/28/2012,6:00 AM,9/4/2012,8:00 AM,Entergy,"Arkansas, Louisiana, Mississippi",SERC,N/A,"770,000","severe weather, hurricane/tropical storm"
Severe Weather,2012,8/26/2012,10:04 PM,8/27/2012,2:04 AM,Florida Power & Light,Florida,FRCC,N/A,"440,000","severe weather, hurricane/tropical storm"
Physical Attack,2012,8/19/2012,8:42 AM,8/19/2012,12:08 PM,El Paso Electric Co,"El Paso, Texas",WECC,12,"3,314","vandalism, physical"
Vandalism,2012,8/16/2012,1:13 PM,8/16/2012,1:13 PM,Northern Indiana Public Service Company,Northern Indiana,RFC,0,0,vandalism
Storm,2012,8/13/2012,3:52 PM,8/13/2012,7:44 PM,WECC Reliability Coordinator,CFE (Mexico & U.S.),WECC,655,Unknown,"severe weather, dust, load shedding"
Vandalism,2012,8/13/2012,1:15 PM,8/13/2012,1:15 PM,Tennessee Valley Authority,"Knoxville, Tennessee",SERC,N/A,Unknown,vandalism
Physical Attack,2012,8/11/2012,12:45 PM,8/11/2012,5:00 PM,"City of Tacoma, TPWR","Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Storm,2012,8/4/2012,5:30 PM,8/5/2012,12:10 PM,Exelon Corporation/ComEd,Northeast Illinois,RFC,N/A,"325,000","severe weather, thunderstorm"
Storm,2012,8/4/2012,4:00 AM,8/4/2012,7:20 AM,Northern Indiana Public Service Company,Northern Indiana,RFC,N/A,"61,413","severe weather, thunderstorm"
Electrical System Separation,2012,8/4/2012,3:55 AM,8/4/2012,4:21 AM,Pacific Gas & Electric Co,"Temblor Substation in McKittrick, California",WECC,5,127,islanding
Public Appeal,2012,8/1/2012,12:00 PM,8/1/2012,12:00 PM,Oklahoma Gas & Electric Co,"Oklahoma, Arkansas",SPP,N/A,Unknown,public appeal
Storm,2012,7/27/2012,5:19 PM,7/28/2012,5:19 PM,Duke Energy Midwest,Central Indiana,RFC,N/A,"52,702","severe weather, thunderstorm"
Storm,2012,7/26/2012,6:21 PM,7/28/2012,11:30 PM,PPL Electric Utilities Corp,North/Central Pennsylvania,RFC,N/A,"65,000","severe weather, thunderstorm"
Storm,2012,7/26/2012,6:14 PM,7/27/2012,6:14 PM,FirstEnergy Corp.: Pennsylvania Electric Company,Western Pennsylvania,RFC,N/A,"65,112","severe weather, thunderstorm"
Storm,2012,7/26/2012,6:30 PM,7/27/2012,5:22 PM,American Electric Power (AEP),Eastern Ohio,RFC,N/A,"57,054","severe weather, thunderstorm"
Storm,2012,7/24/2012,7:30 AM,7/24/2012,10:00 PM,Exelon Corporation/ComEd,Northern Illinois,RFC,N/A,"330,000","severe weather, thunderstorm"
Storm,2012,7/24/2012,7:01 AM,7/24/2012,4:30 PM,Northern Indiana Public Service Company,Northern Indiana,RFC,N/A,"82,621","severe weather, thunderstorm"
Equipment Failure,2012,7/21/2012,2:19 AM,7/21/2012,5:20 AM,Lubbock Power and Light,"City of Lubbock, Texas",SPP,220,"70,000","severe weather, equipment failure"
Vandalism,2012,7/19/2012,12:32 PM,7/19/2012,12:33 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,N/A,N/A,vandalism
Fuel Supply Emergency,2012,7/19/2012,10:30 AM,7/31/2012,11:00 AM,Somerset Operating Company,"Niagara County, New York",NPCC,675,Unknown,"fuel supply emergency, coal"
Storm,2012,7/18/2012,2:16 PM,7/19/2012,11:58 PM,Duke Energy Midwest,"Southeast Ohio, Northern Kentucky, Southern Indiana",RFC,480,"103,000","severe weather, thunderstorm"
Storm,2012,7/18/2012,4:20 PM,7/18/2012,7:05 PM,American Electric Power (AEP),Eastern Ohio,RFC,N/A,"67,000","severe weather, thunderstorm"
Storm,2012,7/18/2012,11:00 PM,7/19/2012,6:00 AM,Exelon Corporation/ComEd,Northern Illinois,RFC,N/A,"181,000","severe weather, thunderstorm"
Public Appeal,2012,7/16/2012,11:27 AM,7/16/2012,12:29 PM,North Little Rock Electric Department,"Little Rock, Arkansas",SPP,N/A,N/A,public appeal
Equipment Failure,2012,7/9/2012,12:15 PM,7/9/2012,4:14 PM,WECC RC Vancouver,"Alberta, Canada",WECC,9896,Unknown,energy deficiency alert
Storm,2012,7/7/2012,6:06 AM,7/9/2012,11:00 PM,PPL Electric Utilities Corp,"Lower Valley, Central, Susquehanna Regions Pennsylvania",RFC,N/A,"64,500","severe weather, thunderstorm"
Storm,2012,7/7/2012,6:00 PM,7/9/2012,7:01 PM,FirstEnergy Corp. Jersey Central Power & Light,Central and Northern New Jersey,RFC,N/A,"95,400","severe weather, thunderstorm"
Fuel Supply Emergency,2012,7/7/2012,4:00 AM,7/10/2012,4:00 AM,California Department of Water Resources,CAISO California,WECC,N/A,0,"fuel supply emergency, hydro"
Vandalism,2012,7/6/2012,3:05 PM,7/6/2012,3:06 PM,City of Tacoma - TPWR,"Tacoma, Washington",WECC,N/A,N/A,vandalism
Storm,2012,7/5/2012,12:00 AM,7/6/2012,8:30 PM,Consumers Energy,Lower Peninsula Michigan,RFC,N/A,"111,000","severe weather, thunderstorm"
Storm,2012,7/5/2012,7:00 PM,7/6/2012,4:00 PM,Tennessee Valley Authority (TVA),Northeast Tennessee,SERC,N/A,"50,001","severe weather, wind, storm"
Storm,2012,7/1/2012,4:47 PM,7/1/2012,11:00 PM,North Carolina Municipal Power Agency #1,"Tarboro, North Carolina",SERC,48,"6,100","equipment failure, severe weather, storm"
Severe Weather,2012,7/1/2012,5:45 PM,7/1/2012,10:15 PM,"Progress Energy, Carolinas","Northern, Central and Eastern North Carolina",SERC,N/A,"69,106",severe weather
Storm,2012,7/1/2012,1:00 PM,7/3/2012,3:00 PM,Exelon Corporation/ComEd,Illinois,RFC,N/A,"320,000","severe weather, thunderstorm"
Storm,2012,6/30/2012,1:15 AM,7/7/2012,5:33 PM,Atlantic City Electric,Atlantic City Electric Service Territory New Jersey,RFC,N/A,"205,000","severe weather, thunderstorm"
Public Appeal,2012,6/30/2012,3:00 PM,7/2/2012,12:00 PM,Tennessee Valley Authority (TVA),Northeast Tennessee,SERC,N/A,Unknown,public appeal
Storm,2012,6/30/2012,10:30 PM,7/2/2012,8:11 AM,"Southern Maryland Electric Cooperative, Inc.","Calvert, Charles, St. Mary's, Prince Georges Counties Maryland",RFC,354,"60,000","severe weather, thunderstorm"
Storm,2012,6/30/2012,1:00 AM,7/3/2012,1:00 AM,Delmarva Power & Light Company,Delaware; Maryland,RFC,0,"86,390","severe weather, thunderstorm"
Storm,2012,6/29/2012,5:15 PM,7/2/2012,11:59 PM,Duke Energy Midwest,Eastern Indiana; Northern Kentucky; Greater Cincinnati area Ohio,RFC,"2,946","4,645,572","severe weather, thunderstorm"
Public Appeal,2012,6/29/2012,4:00 PM,6/29/2012,9:00 PM,Entergy,"Eastern, Arkansas",SERC,45,"7,935",public appeal
Storm,2012,6/29/2012,7:00 PM,7/7/2012,7:43 PM,FirstEnergy (Potomac Edison),Maryland; West Virginia,RFC,N/A,"145,000","severe weather, thunderstorm"
Storm,2012,6/29/2012,2:10 PM,7/4/2012,6:00 PM,Dayton Power & Light,"Dayton, Ohio",RFC,500,"175,000","severe weather, thunderstorm"
Equipment Failure,2012,6/29/2012,12:10 PM,6/29/2012,5:02 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,"1,800","900,000",equipment failure
Storm,2012,6/29/2012,4:00 PM,7/2/2012,4:00 PM,American Electric Power (AEP),Indiana; Michigan; Ohio; West Virginia,RFC,N/A,"1,355,919","severe weather, thunderstorm"
Storm,2012,6/29/2012,10:29 PM,7/4/2012,3:36 PM,Dominion,Virginia,SERC,"5,000","880,000","severe weather, thunderstorm"
Storm,2012,6/29/2012,10:15 PM,7/5/2012,12:52 PM,Pepco,"Montgomery and Prince Georges Counties, Maryland; District of Columbia",RFC,"3,000","425,000","severe weather, thunderstorm"
Storm,2012,6/29/2012,10:43 PM,7/5/2012,11:50 AM,Baltimore Gas & Electric Company (BGE),"Greater Baltimore area, Maryland",RFC,"1,465","600,000","severe weather, thunderstorm"
Physical Attack,2012,6/29/2012,10:45 AM,6/29/2012,10:45 AM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical"
Storm,2012,6/29/2012,6:24 PM,7/6/2012,10:00 AM,FirstEnergy (Mon Power),West Virginia,RFC,700,"265,000","severe weather, thunderstorm"
Storm,2012,6/29/2012,11:30 PM,6/30/2012,2:00 AM,Exelon Corporation/ComEd,Northeast Illinois,RFC,N/A,"109,000","severe weather, thunderstorm"
High Winds and Rain,2012,6/25/2012,4:04 PM,6/26/2012,1:45 PM,Dominion,Central Virginia,SERC,600,"190,000","severe weather, wind, rain"
Load Shed,2012,6/23/2012,6:57 PM,6/23/2012,7:28 PM,ISO New England,"North Shore, Massachusetts",NPCC,51,"29,250",load shedding
Storm,2012,6/19/2012,4:30 AM,6/20/2012,11:00 PM,Xcel Energy,"Minneapolis/St. Paul, Minnesota",MRO,N/A,"68,200","severe weather, thunderstorm"
Fuel Supply Emergency,2012,6/19/2012,5:30 AM,6/21/2012,5:30 AM,California Department of Water Resources,CAISO Territory California,WECC,N/A,Unknown,"fuel supply emergency, hydro"
Vandalism,2012,6/13/2012,4:55 PM,6/13/2012,10:09 PM,Public Service Company of New Mexico,"San Juan County, New Mexico",WECC,0,0,vandalism
Storm,2012,6/12/2012,3:57 PM,6/14/2012,4:57 AM,CenterPoint Energy,"Houston, Texas",TRE,920,"175,000","severe weather, thunderstorm"
Storm,2012,6/11/2012,7:50 PM,6/12/2012,3:00 PM,Southern Company,North/Central Alabama; North/Central Georgia,SERC,368,"110,591","severe weather, thunderstorm"
Load Shed,2012,6/8/2012,5:20 PM,6/8/2012,5:25 PM,Public Service Company of Colorado,"Denver Metro Area, Colorado",WECC,120,"30,379",load shedding
Vandalism,2012,6/6/2012,12:37 PM,6/6/2012,12:37 PM,Potomac Electric Power Company (PEPCO),"Columbia Heights, NW, Washington DC",RFC,0,0,vandalism
Vandalism,2012,6/6/2012,8:00 AM,6/6/2012,8:00 AM,New York Power Authority,"Delhi, New York",NPCC,N/A,N/A,vandalism
Vandalism,2012,6/2/2012,7:30 AM,6/2/2012,11:35 AM,Pacific Gas and Electric Company,"San Francisco, California",WECC,N/A,N/A,vandalism
Physical Attack,2012,5/31/2012,11:45 PM,6/1/2012,4:30 AM,American Electric Power (AEP),"Columbus, Ohio",RFC,0,0,"vandalism, physical"
Physical Attack,2012,5/29/2012,6:30 PM,5/29/2012,7:40 PM,Tacoma Power (TPWR),"Alder Dam, Pierce County, Washington",WECC,N/A,N/A,"vandalism, physical"
Storm,2012,5/29/2012,8:35 PM,5/31/2012,10:00 AM,Oklahoma Gas & Electric,"Oklahoma City Metro Area, Oklahoma",SPP,N/A,"112,000","severe weather, thunderstorm"
Physical Attack,2012,5/24/2012,3:20 PM,5/25/2012,5:29 PM,ISO New England,"Tyngsborough, Massachusetts",NPCC,N/A,Unknown,"vandalism, physical"
Vandalism,2012,5/11/2012,11:05 AM,5/11/2012,11:20 AM,Tacoma Power (TPWR),"Lakewood, Washington",WECC,N/A,N/A,vandalism
Storm,2012,5/7/2012,5:45 PM,5/7/2012,6:06 PM,American Electric Power (AEP),Eastern Ohio,RFC,420,1,"load shedding, severe weather, thunderstorm"
Vandalism,2012,5/7/2012,12:50 PM,5/7/2012,2:00 PM,ISO New England,"Williston, Vermont",NPCC,0,0,vandalism
Physical Attack,2012,4/23/2012,11:56 AM,4/23/2012,3:35 PM,Seattle City Light,"Snohomish County, Washington",WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2012,4/23/2012,8:11 AM,4/23/2012,12:47 PM,Northern Indiana Public Service Company (NIPSCO),Northwest Indiana,RFC,N/A,N/A,"vandalism, physical"
Physical Attack,2012,4/21/2012,3:02 PM,4/21/2012,8:09 PM,ISO New England,"East Bridgewater, Massachusetts",NPCC,N/A,N/A,"vandalism, physical"
Physical Attack,2012,4/21/2012,8:55 PM,4/23/2012,4:30 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Storm,2012,4/20/2012,2:27 PM,4/21/2012,4:27 AM,CenterPoint Energy,"Metropolitan Houston, Texas",TRE,N/A,"120,377","severe weather, thunderstorm"
Physical Attack,2012,4/19/2012,7:53 AM,4/19/2012,4:00 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2012,4/17/2012,6:11 AM,4/17/2012,5:48 PM,San Diego Gas & Electric Company,"San Diego County, California",WECC,0,0,"vandalism, physical"
High Winds and Rain,2012,4/16/2012,3:46 PM,4/19/2012,2:00 AM,"Detroit Edison, Subsidiary of DTE Energy","Southeast, Michigan",RFC,218,"111,393","severe weather, wind"
Physical Attack,2012,4/15/2012,7:38 PM,4/15/2012,9:26 PM,Southern Company,Georgia,SERC,N/A,Unknown,"vandalism, physical"
Physical Attack,2012,4/12/2012,8:08 AM,4/12/2012,4:30 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Vandalism,2012,4/11/2012,9:00 AM,4/11/2012,9:00 AM,North Attleborough Electric Department,"North Attleboro, Massachusetts",NPCC,0,0,vandalism
Physical Attack,2012,4/7/2012,2:35 PM,4/7/2012,2:36 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,4/7/2012,12:25 PM,4/7/2012,12:26 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,4/7/2012,9:31 AM,4/7/2012,9:32 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,4/4/2012,3:32 PM,4/6/2012,3:30 PM,Western Area Power Authority - Sierra Nevada Region (WASN),"WAPA-SNR Regional Office, California",WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2012,4/3/2012,3:33 PM,4/3/2012,8:25 PM,Seattle City Light,"Seattle, Washington",WECC,0,0,"vandalism, physical"
Vandalism,2012,4/3/2012,11:10 AM,4/3/2012,11:25 AM,ISO New England,"West Rutland, Vermont",NPCC,0,0,vandalism
Vandalism,2012,4/1/2012,8:27 PM,4/3/2012,8:28 AM,Mid American Energy Company,"Council Bluffs, Iowa",MRO,0,0,vandalism
Physical Attack,2012,3/30/2012,11:10 AM,3/30/2012,11:30 AM,ISO New England,Vermont,NPCC,N/A,N/A,"vandalism, physical"
Electrical System Separation,2012,3/29/2012,12:01 PM,3/29/2012,12:02 PM,Lansing Board of Water & Light,"Lansing, Michigan",RFC,N/A,0,islanding
Physical Attack,2012,3/28/2012,10:17 AM,3/28/2012,10:17 AM,Tacoma Power (TPWR),"Graham, Washington",WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2012,3/26/2012,1:24 PM,3/26/2012,1:24 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2012,3/23/2012,7:34 PM,3/23/2012,7:34 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Storm,2012,3/20/2012,8:00 AM,3/20/2012,1:00 PM,CenterPoint Energy,"Houston, Texas",TRE,N/A,"96,000","severe weather, thunderstorm"
Physical Attack,2012,3/16/2012,4:00 PM,3/16/2012,4:00 PM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,3/4/2012,1:38 PM,3/5/2012,11:00 AM,Entergy Corporation,Texas,SERC,N/A,Unknown,"vandalism, physical"
Physical Attack,2012,3/4/2012,1:27 AM,3/4/2012,6:58 AM,Potomac Electric Power (Pepco Holdings Inc.),"Prince Georges County, Maryland",RFC,N/A,N/A,"vandalism, physical"
Ice and Snow,2012,3/2/2012,9:00 PM,3/4/2012,5:30 PM,Consumers Energy,"Lower Peninsula, Michigan",RFC,50,"140,000","severe weather, winter storm"
Ice and Snow,2012,3/2/2012,9:00 PM,3/5/2012,4:30 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeastern, Michigan",RFC,371,"130,000","severe weather, winter storm"
Equipment Failure,2012,3/2/2012,1:45 PM,3/2/2012,3:30 PM,"City of Piggott, Arkansas","Piggott, Arkansas",SERC,N/A,N/A,equipment failure
Severe Weather,2012,3/2/2012,12:37 PM,3/5/2012,12:01 PM,Tennessee Valley Authority (TVA),Northern Alabama; Southeast Tennessee,SERC,500,Unknown,"severe weather, tornado"
Physical Attack,2012,2/28/2012,7:00 AM,2/28/2012,7:00 AM,Coos Curry Electric Cooperative,Coos County Oregon,WECC,N/A,Unknown,"vandalism, physical"
Electrical System Separation,2012,2/28/2012,2:59 AM,2/28/2012,6:12 AM,Pacific Gas and Electric,"Sacramento, California",WECC,1,1,islanding
Physical Attack,2012,2/24/2012,11:24 AM,2/24/2012,11:49 AM,Tacoma Power (TPWR),"Spanaway, Washington",WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2012,2/23/2012,5:45 AM,2/23/2012,3:02 PM,City of College Station,"South East College Station, Texas",TRE,0,0,"vandalism, physical"
Physical Attack,2012,2/23/2012,11:12 PM,2/24/2012,1:00 AM,ISO New England,"Londonderry, New Hampshire",NPCC,0,0,"vandalism, physical"
Ice and Snow,2012,2/19/2012,5:00 PM,2/21/2012,7:33 AM,American Electric Power,"Kentucky, Virginia, West Virginia",SERC,N/A,"90,000","severe weather, winter storm"
Cyber Attack,2012,2/17/2012,3:00 AM,2/17/2012,11:33 AM,"Entergy Services, Inc","Little Rock, Arkansas",SERC,N/A,Unknown,"vandalism, cyber"
Physical Attack,2012,2/15/2012,5:33 AM,2/15/2012,5:30 PM,Puget Sound Energy,"Port Orchard, Washington",WECC,0,0,"vandalism, physical"
Physical Attack,2012,2/14/2012,7:20 PM,2/15/2012,4:00 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2012,2/13/2012,7:02 AM,2/13/2012,4:25 PM,Progress Energy Carolinas,"Asheville, North Carolina",SERC,N/A,N/A,"vandalism, physical"
Physical Attack,2012,2/11/2012,8:47 AM,2/11/2012,10:30 AM,Xcel Energy (Public Service Company of Colorado),"Lamar, Colorado",WECC,0,0,"vandalism, physical"
Physical Attack,2012,2/11/2012,8:55 AM,2/11/2012,8:55 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Vandalism,2012,1/29/2012,12:45 PM,1/29/2012,12:45 PM,Tacoma Power (TPWR),"Roosevelt Substation, Tacoma, Washington",WECC,N/A,N/A,vandalism
Vandalism,2012,1/27/2012,9:40 AM,1/27/2012,9:40 AM,Tacoma Power (TPWR),"Frederickson Substation, Spanaway, Washington",WECC,N/A,N/A,vandalism
Vandalism,2012,1/24/2012,11:22 AM,1/24/2012,11:22 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,vandalism
Ice and Snow,2012,1/19/2012,7:00 AM,1/20/2012,3:00 PM,Puget Sound Energy,"King, Pierce and Thurston Counties, Washington",WECC,"1,600","426,000","severe weather, winter storm"
Cyber Attack,2012,1/17/2012,10:31 AM,1/17/2012,5:21 PM,"Pedernales Electric Cooperative, Inc.","Austin, Texas",TRE,N/A,0,"vandalism, cyber"
Vandalism,2012,1/15/2012,9:35 AM,1/15/2012,9:35 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,vandalism
Physical Attack,2012,1/13/2012,9:20 AM,1/13/2012,9:20 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,1/12/2012,8:26 AM,1/12/2012,8:26 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,1/11/2012,7:19 AM,1/11/2012,9:07 AM,Nevada Power Company (NV Energy),Nevada,WECC,0,0,"vandalism, physical"
Load Shed,2012,1/10/2012,9:30 PM,1/10/2012,9:30 PM,Luminant Energy Company LLC,"Rusk County, Texas",TRE,N/A,N/A,load shedding
Vandalism,2012,1/9/2012,2:30 PM,1/9/2012,3:30 PM,ISO New England/Convex,"Watertown, Connecticut",NPCC,N/A,N/A,vandalism
Load Shed,2012,1/9/2012,1:36 PM,1/11/2012,1:05 AM,The Dow Chemical Company,Louisiana,SERC,150,1,load shedding
Vandalism,2012,1/5/2012,10:35 AM,1/5/2012,12:25 PM,American Electric Power,"CSWS/AEP West territory, Oklahoma",SPP,0,0,vandalism
Physical Attack,2012,1/5/2012,10:28 AM,1/5/2012,12:25 PM,Oklahoma Gas and Electric,"Creek County, Oklahoma",SPP,N/A,N/A,"vandalism, physical"
Physical Attack,2012,1/4/2012,12:14 PM,1/4/2012,12:14 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2011,12/31/2011,9:26 PM,12/31/2011,9:26 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Cyber Attack,2011,12/21/2011,10:30 AM,12/21/2011,10:30 AM,Idaho Power Company,"Boise, Idaho",WECC,0,0,"vandalism, cyber"
Physical Attack,2011,12/20/2011,9:30 AM,12/20/2011,9:31 AM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2011,12/20/2011,7:45 AM,12/20/2011,8:45 AM,PacifiCorp,"Sweet Home, Oregon",WECC,12,"2,500","vandalism, physical"
Physical Attack,2011,12/19/2011,8:48 AM,12/19/2011,4:00 PM,City of Tacoma (TPWR),"Croft Substation, Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2011,12/13/2011,3:19 AM,12/14/2011,3:19 AM,Dayton Power & Light,Clinton County Ohio,RFC,N/A,0,"vandalism, physical"
Physical Attack,2011,12/8/2011,8:45 AM,12/8/2011,4:30 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Severe Weather,2011,12/7/2011,7:29 PM,12/7/2011,10:57 PM,Dominion Virginia Power,Central Virginia,SERC,240,"60,000",severe weather
Public Appeal,2011,12/6/2011,8:00 AM,12/6/2011,8:00 PM,Montana Dakota Utilities,"Bismarck-Mandan, North Dakota",MRO,155,"34,500",public appeal
Physical Attack,2011,12/6/2011,5:38 PM,12/7/2011,11:04 AM,ITC Holdings,"Montague, Michigan",RFC,0,0,"vandalism, physical"
Physical Attack,2011,12/5/2011,2:00 PM,12/6/2011,5:00 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
