0,100,0
1,101,101
2,102,204
3,103,309
4,104,416
5,105,525
6,106,636
7,107,749
8,108,864
9,109,981
10,110,1100
11,111,1221
12,112,1344
13,113,1469
14,114,1596
15,115,1725
16,116,1856
17,117,1989
18,118,2124
19,119,2261
20,120,2400
21,121,2541
22,122,2684
23,123,2829
24,124,2976
25,125,3125
26,126,3276
27,127,3429
28,128,3584
29,129,3741
30,130,3900
31,131,4061
32,132,4224
33,133,4389
34,134,4556
35,135,4725
36,136,4896
37,137,5069
38,138,5244
39,139,5421
40,140,5600
41,141,5781
42,142,5964
43,143,6149
44,144,6336
45,145,6525
46,146,6716
47,147,6909
48,148,7104
49,149,7301
50,150,7500
51,151,7701
52,152,7904
53,153,8109
54,154,8316
55,155,8525
56,156,8736
57,157,8949
58,158,9164
59,159,9381
60,160,9600
61,161,9821
62,162,10044
63,163,10269
64,164,10496
65,165,10725
66,166,10956
67,167,11189
68,168,11424
69,169,11661
70,170,11900
71,171,12141
72,172,12384
73,173,12629
74,174,12876
75,175,13125
76,176,13376
77,177,13629
78,178,13884
79,179,14141
80,180,14400
81,181,14661
82,182,14924
83,183,15189
84,184,15456
85,185,15725
86,186,15996
87,187,16269
88,188,16544
89,189,16821
90,190,17100
91,191,17381
92,192,17664
93,193,17949
94,194,18236
95,195,18525
96,196,18816
97,197,19109
98,198,19404
99,199,19701
100,200,20000
